path,width,height,read_success,detection_success,corner_count,center_x,center_y,area_ratio,blur_score,exclusion_reason,duplicate_of,center_x_normalized,center_y_normalized,convex_hull_area_ratio,top_edge_angle_normalized,left_right_length_ratio,top_bottom_length_ratio,perspective_change
data/intrinsic/calib_000.png,1280,720,True,True,72,688.9122924804688,408.7280578613281,0.20117318078639276,42.0898161478384,,,0.538212729493777,0.5676778422461616,0.20117318078639276,-0.4952106657673386,0.8366881963999405,0.8319743538104465,0.25618586314299346
data/intrinsic/calib_001.png,1280,720,True,True,72,633.847900390625,441.4473876953125,0.1961090422461603,168.41482092247008,,,0.4951935973432329,0.6131214533323124,0.1961090422461603,-0.4719412028758133,0.8507130028637666,0.8532062725999033,0.2265907829535524
data/intrinsic/calib_002.png,1280,720,True,True,72,600.5814819335938,349.2147521972656,0.19339168143471272,46.01121961767407,,,0.4692042062679927,0.4850205025555175,0.19339168143471272,-0.4665765952529723,0.8139759229648423,0.8914129604588444,0.23574699255944928
data/intrinsic/calib_003.png,1280,720,True,True,72,560.7300415039062,394.0889587402344,0.19685039103767343,114.53191149081006,,,0.4380702909496096,0.5473457963378341,0.19685039103767343,-0.45708610374440084,0.8451962497372222,0.8967071399020039,0.2004328691124745
data/intrinsic/calib_004.png,1280,720,True,True,72,466.2228088378906,431.1256103515625,0.18471934330424095,41.12187245268175,,,0.36423655450344083,0.5987855613967519,0.18471934330424095,-0.4485478816937795,0.8862733345725367,0.9494604080950854,0.1313975330197706
data/intrinsic/calib_005.png,1280,720,True,True,72,621.3745727539062,439.4264831542969,0.17159893882032368,56.692994767926095,,,0.48544893860816957,0.6103145775971589,0.17159893882032368,-0.4455816361083238,0.8784171569291335,0.866471729167074,0.1932541696601539
data/intrinsic/calib_006.png,1280,720,True,True,72,876.1649780273438,362.4537658691406,0.16847385901901463,38.762532039076,,,0.6845038241810268,0.5034079566413974,0.16847385901901463,-0.5160503980672934,0.8452511693477093,0.7527789416507183,0.3300174919095414
data/intrinsic/calib_007.png,1280,720,True,True,72,626.6824340820312,297.54290771484375,0.14643424933214444,51.70161428426108,,,0.4895956489774916,0.4132539906619508,0.14643424933214444,-0.5045856244689882,0.7821028491857384,0.9104856509364551,0.26305240204286695
data/intrinsic/calib_008.png,1280,720,True,True,72,645.1441040039062,384.6662292480469,0.08566237671902248,64.20815157308579,,,0.5040188676781124,0.5342586696883779,0.08566237671902248,-0.5359899050111105,0.9142702095585709,0.8515921738574409,0.1839592602686722
data/intrinsic/calib_009.png,1280,720,True,True,72,605.5731811523438,428.1859130859375,0.10083143352675002,59.58648427687279,,,0.47310398320357006,0.5947027415405085,0.10083143352675002,-0.597722335464994,0.8835724615618774,0.8654936965159028,0.19023479779846927
