waypoint,order,source_candidate,grid_row,grid_column,x_m,y_m,yaw_rad,map_clearance_m
w107,107,107,21,23,12.034,-5.458,-0.471250,0.770
w108,108,108,21,24,12.925,-5.912,-0.471250,0.950
w109,109,109,21,25,13.816,-6.366,-0.471250,1.148
w110,110,110,21,26,14.707,-6.820,1.099546,0.689
w111,111,123,22,26,15.161,-5.929,2.670342,0.619
w112,112,122,22,25,14.270,-5.475,2.670342,0.659
w113,113,121,22,24,13.379,-5.021,2.670342,0.430
w114,114,120,22,22,11.597,-4.113,2.670342,0.909
w115,115,119,22,21,10.706,-3.659,2.670342,1.208
w116,116,118,22,18,8.033,-2.297,2.670342,1.089
w117,117,117,22,17,7.142,-1.843,2.670342,2.077
w118,118,116,22,16,6.251,-1.389,2.670342,2.377
w119,119,115,22,15,5.360,-0.935,2.670342,2.467
w120,120,114,22,14,4.469,-0.481,2.670342,2.467
w121,121,113,22,13,3.578,-0.027,2.670342,2.487
w122,122,112,22,12,2.687,0.427,2.670342,2.047
w123,123,111,22,11,1.796,0.881,1.099546,1.059
w124,124,124,23,11,2.250,1.772,-0.471250,0.829
w125,125,125,23,12,3.141,1.318,-0.471250,1.818
w126,126,126,23,13,4.032,0.864,-0.471250,2.686
w127,127,127,23,14,4.923,0.410,-0.471250,2.746
w128,128,128,23,15,5.814,-0.044,-0.471250,2.746
w129,129,129,23,16,6.705,-0.498,-0.471250,2.776
w130,130,130,23,17,7.596,-0.952,-0.471250,2.077
w131,131,131,23,18,8.487,-1.406,-0.471250,1.089
w132,132,132,23,21,11.160,-2.768,-0.471250,1.248
w133,133,133,23,22,12.051,-3.222,-0.471250,0.909
w134,134,134,23,24,13.833,-4.130,1.884944,0.439
w135,135,147,24,23,13.396,-2.785,2.670342,0.439
w136,136,146,24,22,12.505,-2.331,2.670342,1.189
w137,137,145,24,21,11.614,-1.877,2.670342,1.669
w138,138,144,24,20,10.723,-1.423,2.670342,1.050
w139,139,143,24,19,9.832,-0.969,2.670342,1.049
w140,140,142,24,18,8.941,-0.515,2.670342,1.488
w141,141,141,24,17,8.050,-0.061,2.670342,1.828
w142,142,140,24,16,7.159,0.393,2.670342,1.788
w143,143,139,24,15,6.268,0.847,2.670342,1.758
w144,144,138,24,14,5.377,1.301,2.670342,1.758
w145,145,137,24,13,4.486,1.755,2.670342,1.748
w146,146,136,24,12,3.595,2.209,2.670342,1.738
w147,147,135,24,11,2.704,2.663,1.884944,0.820
w148,148,148,25,10,2.267,4.008,-0.471250,0.380
w149,149,149,25,11,3.158,3.554,-0.471250,0.709
w150,150,150,25,12,4.049,3.100,-0.471250,0.749
w151,151,151,25,13,4.940,2.646,-0.471250,0.759
w152,152,152,25,14,5.831,2.192,-0.471250,0.769
w153,153,153,25,15,6.722,1.738,-0.471250,0.769
w154,154,154,25,16,7.613,1.284,-0.471250,0.799
w155,155,155,25,17,8.504,0.830,-0.471250,0.839
w156,156,156,25,18,9.395,0.376,-0.471250,0.839
w157,157,157,25,21,12.068,-0.986,-0.471250,0.929
w158,158,158,25,22,12.959,-1.440,-0.471250,0.979
w159,159,159,25,23,13.850,-1.894,-0.471250,0.400
